fecha	cp	minsplit	minbucket	maxdepth	corte	xval_repeats	xval_folds	ganancia	iteracion
20230906 214916	-0.798603862811818	1965	398	10	8843	10	5	75397000	104
20230906 215146	-0.439093907854511	1984	366	11	7430	10	5	74746000	105
20230906 215436	-0.785953254367238	1931	358	20	8634	10	5	75019000	106
20230906 215659	-0.866721243722012	1972	398	10	8951	10	5	75250000	107
20230906 215858	-0.804620552958336	2044	451	7	9081	10	5	74592000	108
20230906 220118	-0.819561262212085	2258	405	10	9110	10	5	73822000	109
20230906 220334	-0.739590836651824	1872	407	8	8504	10	5	75537000	110
20230906 220555	-0.722448254056276	1889	412	10	8614	10	5	75467000	111
20230906 220753	-0.580238469488759	1521	422	7	8720	10	5	75460000	112
20230906 221106	-0.577008704034914	1621	415	10	8458	10	5	75040000	113
20230906 221326	-0.999993495580495	4862	2431	6	13967	10	5	56413000	114
20230906 221556	-0.757580007429622	1907	375	10	7779	10	5	74872000	115
20230906 221759	-0.683270152412271	1874	423	7	8696	10	5	75607000	116
20230906 222003	0.0992925858925602	1271	411	20	7427	10	5	-42567000	117
20230906 222257	-0.598411758880497	1836	479	8	8810	10	5	73318000	118
20230906 222458	-0.797197448165632	1598	368	7	7192	10	5	74774000	119
20230906 222655	-0.553224935645131	1602	419	7	8815	10	5	74907000	120
20230906 222943	-0.683843240389671	2533	360	20	8948	10	5	73010000	121
20230906 223112	-0.471065153908749	7968	3981	4	9522	10	5	53732000	122
20230906 223306	-0.118681435838133	7958	3968	20	10689	10	5	52542000	123
20230906 223444	-0.725623561529639	7991	3995	6	14998	10	5	49532000	124
20230906 223735	-0.120626196435924	1656	401	20	7518	10	5	74760000	125
20230906 223922	-0.725026896695196	1668	409	6	8411	10	5	73906000	126
20230906 224212	-0.657198627006053	1979	381	20	7140	10	5	74816000	127
20230906 224430	-0.891547472927233	1899	376	9	8588	10	5	75474000	128
20230906 224648	-0.854148548940766	1976	380	9	7462	10	5	74956000	129
20230906 224929	-0.572572020342483	1955	383	14	8912	10	5	75390000	130
20230906 225150	-0.69701937512197	1494	407	10	13360	10	5	69216000	131
20230906 225431	-0.999878004876769	1510	280	15	14999	10	5	64288000	132
20230906 225628	-0.999773447633298	1904	322	7	5185	10	5	70245000	133
20230906 225917	-0.88413453771253	1953	409	20	8511	10	5	75390000	134
20230906 230135	-0.695098060393324	1799	383	10	9036	10	5	74851000	135
20230906 230426	-0.111298757403376	1716	391	19	9471	10	5	74410000	136
20230906 230713	-0.181743326841647	1525	402	18	9238	10	5	74424000	137
20230906 231006	-0.104762792337422	3090	296	19	7165	10	5	67753000	138
20230906 231244	-0.112132352366731	1392	669	20	14967	10	5	62461000	139
20230906 231518	-0.999929362683732	7989	383	18	5292	10	5	47474000	140
20230906 231805	-0.680003664696176	1752	461	20	14997	10	5	63819000	141
20230906 232050	-0.430347149047973	1992	363	15	14452	10	5	66150000	142
20230906 232337	-0.627338178972389	1950	391	20	7622	10	5	74900000	143
20230906 232629	-0.685122334315863	2017	440	20	8667	10	5	75145000	144
20230906 232824	-0.569057409407438	7729	3861	16	5024	10	5	49385000	145
20230906 233039	-0.999990824249219	1985	373	9	12374	10	5	70735000	146
20230906 233231	-0.79063698447581	5338	294	7	13331	10	5	59290000	147
20230906 233522	-0.806291401285688	2026	391	20	7455	10	5	74991000	148
20230906 233817	-0.85940117217507	2017	334	20	8723	10	5	75817000	149
20230906 233931	-0.461887354722446	5844	2918	3	5012	10	5	52962000	150
20230906 234215	-0.728405116172168	1963	288	15	8656	10	5	75075000	151
20230906 234419	-0.726043467126127	1784	300	7	8852	10	5	75166000	152
20230906 234706	-0.992165669258316	2013	338	16	8717	10	5	75803000	153
20230906 234956	-0.999482104085702	2014	272	16	6762	10	5	74312000	154
20230906 235242	-0.871574348528182	2073	332	16	8704	10	5	75733000	155
20230906 235526	-0.981492100464559	2012	409	16	10285	10	5	73997000	156
20230906 235725	-0.413760814083754	1462	441	7	8669	10	5	75586000	157
20230907 000018	-0.574868351153243	2032	247	16	7359	10	5	75124000	158
20230907 000241	-0.406700541918452	2018	401	10	8671	10	5	75558000	159
20230907 000503	-0.411443128446057	1517	398	10	8734	10	5	75075000	160
20230907 000702	-0.57353605634006	1948	404	7	7584	10	5	75117000	161
20230907 000848	-0.407896201620843	5064	2525	6	10632	10	5	62342000	162
20230907 001048	-0.997379544563911	7913	3951	20	14969	10	5	49686000	163
20230907 001251	-0.40689858615952	1650	496	7	7245	10	5	72457000	164
20230907 001536	-0.303856944916564	2067	308	14	7111	10	5	75110000	165
20230907 001742	-0.998338622029007	1446	338	8	8310	10	5	74606000	166
20230907 001938	-0.426444254033163	1966	380	7	8789	10	5	75922000	167
20230907 002224	-0.980239816077475	1973	387	15	8601	10	5	75348000	168
20230907 002448	-0.571116798170615	2030	304	10	7009	10	5	74718000	169
20230907 002723	-0.415111041374908	2110	392	13	8494	10	5	74963000	170
20230907 002925	-0.568958763834944	1877	426	7	8579	10	5	75432000	171
20230907 003115	-0.420502944852365	1263	428	6	12011	10	5	70462000	172
20230907 003314	-0.115103003188367	7451	2536	20	14984	10	5	49973000	173
20230907 003544	-0.999917649408416	5445	464	16	12776	10	5	60235000	174
20230907 003812	-0.854815575389352	7998	422	20	14284	10	5	49973000	175
20230907 004014	-0.675396829466023	1380	419	7	8876	10	5	75271000	176
20230907 004238	-0.418402135665629	2115	399	10	9047	10	5	74865000	177
20230907 004519	-0.107091541603224	1334	583	20	8915	10	5	72947000	178
20230907 004708	-0.430746925445962	1302	412	6	8723	10	5	73633000	179
20230907 004936	-0.401308524688017	5798	338	14	5002	10	5	54992000	180
20230907 005138	-0.676148452723465	1550	455	7	11011	10	5	72898000	181
20230907 005433	-0.154636982463461	1497	408	20	9767	10	5	73717000	182
20230907 005633	-0.211301974570075	6519	3258	15	9574	10	5	55755000	183
20230907 005902	-0.509165709631712	1940	364	11	8658	10	5	75264000	184
20230907 010131	-0.417561998732795	1951	367	11	7203	10	5	74949000	185
20230907 010412	-0.397765786365697	1932	372	14	8642	10	5	75180000	186
20230907 010702	-0.580689050560816	1918	397	16	9256	10	5	74879000	187
20230907 010950	-0.42739692288348	1962	375	20	8758	10	5	75572000	188
20230907 011102	-0.677677059357966	6426	3207	3	8696	10	5	53375000	189
