fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230907 034647	-0.629646250562082	2224	6	6	10	5	67567500	279
20230907 034844	-0.327215765989478	5516	2749	10	10	5	53662000	280
20230907 035105	-0.48918180489016	3216	988	18	10	5	63453600	281
20230907 035344	-0.0573728687461519	2179	452	14	10	5	70297500	282
20230907 035502	-0.518334363704001	7996	3143	3	10	5	51311400	283
20230907 035750	-0.0586889728065122	2152	396	20	10	5	69927900	284
20230907 035926	-0.581061629513102	7998	1298	5	10	5	51419900	285
20230907 040205	-0.300052759096301	2183	458	20	10	5	70296100	286
20230907 040318	-0.734660280633637	7996	2570	3	10	5	51179100	287
20230907 040528	-0.302085430320678	3971	1983	20	10	5	57790600	288
20230907 040716	-0.710278917468672	2159	393	6	10	5	71521100	289
20230907 040955	-0.735092865303206	2456	394	20	10	5	69122900	290
20230907 041224	-0.811806157069555	2182	476	13	10	5	70070000	291
20230907 041414	-0.999607946518908	5758	1052	6	10	5	55643700	292
20230907 041621	-0.0420245573950912	3681	1836	10	10	5	58388400	293
20230907 041805	-0.447851729891758	6839	1	6	10	5	51300200	294
20230907 042042	-0.276382192580778	2287	491	19	10	5	69403600	295
20230907 042241	-0.0825344045467806	2149	468	7	10	5	70779800	296
20230907 042432	-0.572341051423299	2211	392	6	10	5	71571500	297
20230907 042623	-0.487384136505832	2178	480	6	10	5	70946400	298
20230907 042736	-0.302157343259921	7998	1828	3	10	5	51179100	299
20230907 042919	-0.0403097364285111	4595	1461	6	10	5	59176600	300
20230907 043158	-0.137456785778825	1891	388	14	10	5	69315400	301
20230907 043356	-0.259422455025961	2229	394	7	10	5	71142400	302
20230907 043611	-0.0356045049521284	3709	1204	20	10	5	61790400	303
20230907 043822	-0.860634806160775	2755	1375	14	10	5	60704700	304
20230907 044024	-0.207752552840586	5088	2543	20	10	5	53715200	305
20230907 044303	-0.487524863057869	3331	393	20	10	5	66243800	306
20230907 044421	-0.0417808039768596	6283	3140	3	10	5	51837800	307
20230907 044702	-0.903875395161965	2206	212	13	10	5	67877600	308
20230907 044818	-0.108997265546284	7999	3401	3	10	5	51408700	309
20230907 044935	-0.90906574142678	7826	2898	3	10	5	51509500	310
20230907 045135	-0.328440909493567	7994	1662	20	10	5	51331700	311
20230907 045343	-0.817603563081149	5682	1480	20	10	5	55494600	312
20230907 045531	-0.30642630954421	3118	960	6	10	5	63935200	313
20230907 045813	-0.332808942462364	2216	394	19	10	5	70030100	314
20230907 050015	-0.893275730414125	5125	1966	20	10	5	53608800	315
20230907 050210	-0.578956705979611	6164	3082	20	10	5	53183200	316
